xcorr,deltacn,sprank,ions,calc_neutral_pep_mass,label
0.766,0.104,76,803,431.4496,1
1.231,0.002,1,2360,1599.8144,1
1.003,0.105,40,1407,820.8119,1
0.794,0.106,63,803,431.4496,1
1.333,0.015,22,1440,1158.1876,1
1.672,0.121,206,832,962.0655,1
0.801,0.175,11,1207,702.763,1
1.49,0.052,47,936,1085.226,1
1.788,0.035,85,1572,2016.3349,1
0.719,0.016,13,1006,622.7257,1
1.241,0.035,5,1232,912.0544,1
1.078,0.002,13,1240,1082.2658,1
1.29,0.135,46,1560,1694.909,1
1.292,0.088,37,1809,1001.1578,1
1.64,0.044,7,1644,1365.471,1
1.414,0.189,6,1784,2176.2763,1
1.119,0.151,6,2009,1183.2028,1
1.331,0.08,2,2211,1375.5016,1
1.324,0.14,68,1248,1333.3465,1
3.125,0.573,1,1526,1500.6006,1
1.295,0.06,2,2010,1182.3048,1
1.412,0.02,181,1480,2227.4136,1
7.784,0.636,1,47128,3520.7484,1
2.041,0.041,94,1688,2420.5932,1
0.818,0.046,18,1407,894.0018,1
1.266,0.161,3,1884,2176.2763,1
1.047,0.001,1,2609,1500.6835,1
2.284,0.454,1,2812,1628.7692,1
1.946,0.239,1,2212,1327.4699,1
1.038,0.002,5,1809,983.1332,1
2.432,0.208,4,20108,2930.142,1
1.504,0.018,26,2409,1426.6024,1
1.602,0.049,126,1372,2130.3886,1
4.641,0.595,1,3576,2172.476,1
1.31,0.079,11,934,1893.9134,1
1.357,0.114,62,738,2109.2554,1
1.615,0.136,5,2080,2209.3146,1
1.59,0.016,2,1844,1294.4765,1
0.844,0.053,46,1807,1082.179,1
0.859,0.245,58,1607,1066.1393,1
1.718,0.035,1,2180,2235.283,1
1.892,0.013,113,1680,2333.5963,1
1.792,0.05,44,1496,2640.7576,1
1.559,0.015,25,19104,2942.3304,1
1.187,0.083,24,2008,1103.1546,1
1.188,0.065,43,932,1674.8846,1
1.046,0.028,3,2409,1333.3465,1
2.057,0.097,7,18128,3616.0971,1
1.05,0.004,36,2808,1637.857,1
1.34,0.043,16,1548,1361.3856,1
2.584,0.118,2,24128,3313.5524,1
1.012,0.066,70,2208,1328.4912,1
1.496,0.116,156,1380,2211.3739,1
1.799,0.014,47,1888,2488.7467,1
1.615,0.044,29,1580,2333.5963,1
1.45,0.016,8,936,1890.9763,1
1.833,0.139,3,22108,2776.9641,1
1.017,0.004,149,632,1808.0684,1
1.674,0.225,3,938,2106.2054,1
1.913,0.044,111,1392,2633.8676,1
2.032,0.102,24,18108,2993.3317,1
1.122,0.01,2,944,2500.636,1
1.575,0.035,96,15128,3480.7448,1
1.323,0.034,89,736,1979.2242,1
1.59,0.195,15,1136,1949.2407,1
1.779,0.03,10,20120,3281.5145,1
1.256,0.01,69,3008,1758.9494,1
1.562,0.248,1,1342,2150.2567,1
1.403,0.142,3,2811,1568.8004,1
1.959,0.055,15,19104,2802.9183,1
