xcorr,deltacn,sprank,ions,calc_neutral_pep_mass,label
1.349,0.008,1,1764,1864.1331,1
1.655,0.1,9,1656,1629.6954,1
1.083,0.118,23,842,2266.2684,1
1.468,0.177,172,732,1749.8986,1
1.948,0.123,453,1288,2497.7044,1
1.36,0.034,447,1296,2603.0789,1
1.845,0.07,61,1792,2446.6194,1
1.252,0.178,208,636,1915.1398,1
1.366,0.007,13,17112,2973.3984,1
1.095,0.063,15,840,2148.3207,1
1.372,0.227,1,1036,1949.9544,1
0.953,0.02,230,1606,1107.2322,1
1.186,0.172,53,2609,1335.5236,1
1.736,0.118,451,12108,2855.2842,1
1.483,0.07,109,734,1883.0917,1
1.398,0.036,25,3008,1718.922,1
2.247,0.143,1,2192,2515.766,1
1.334,0.13,9,2610,1544.8089,1
1.786,0.029,3,1972,2135.4092,1
1.518,0.075,5,21108,2829.0454,1
1.835,0.238,9,1142,2274.569,1
0.974,0.008,54,2007,1279.3038,1
1.022,0.024,85,3006,1716.7736,1
1.652,0.005,36,16100,2521.721,1
2.292,0.109,1,21104,2743.0296,1
1.569,0.109,1,2472,2073.4673,1
1.746,0.075,2,2080,2083.1534,1
1.106,0.021,183,3007,1753.1399,1
1.726,0.114,2,2276,2100.5083,1
1.741,0.213,50,1776,2101.3446,1
1.796,0.053,32,1688,2351.3307,1
1.135,0.05,34,2007,1358.6042,1
1.412,0.121,407,534,1761.8229,1
1.999,0.139,3,2188,2539.6728,1
1.743,0.01,44,1696,2664.0758,1
1.75,0.024,159,1372,2142.3532,1
1.219,0.022,6,3009,1726.7313,1
1.912,0.168,1,1780,2373.7484,1
1.62,0.004,96,1592,2487.7496,1
1.127,0.038,13,940,2169.4691,1
1.036,0.025,8,2608,1438.7236,1
2.021,0.109,374,1392,2556.5933,1
1.569,0.009,313,16100,2657.799,1
1.06,0.035,7,2609,1490.6838,1
1.761,0.144,20,20112,2878.1485,1
1.965,0.142,38,1780,2094.0845,1
0.787,0.022,225,2407,1332.4368,1
1.632,0,147,13116,2972.1724,1
1.711,0.054,3,21104,2812.1307,1
2.067,0.179,9,1988,2418.8228,1
1.911,0.063,6,2088,2459.8753,1
1.502,0.013,53,1576,2203.4901,1
1.793,0.047,58,1576,2252.7538,1
1.421,0.095,3,1034,1939.2456,1
1.188,0.081,311,634,1887.2066,1
1.443,0.036,18,3009,1655.7452,1
1.532,0.008,6,1896,2424.6476,1
1.752,0.054,16,1792,2597.0258,1
2.011,0.096,2,2192,2377.5998,1
1.281,0.016,7,2280,2124.203,1
1.231,0.03,358,534,1826.994,1
1.097,0.005,355,632,1786.0214,1
1.926,0.167,21,1680,2214.3306,1
0.962,0.1,20,2410,1406.7354,1
1.29,0.042,104,632,1751.9121,1
1.513,0.142,177,634,1721.7612,1
2.11,0.081,6,1996,2725.9524,1
3.087,0.537,1,1540,2161.4096,1
7.189,0.698,1,39124,3244.5757,1
1.683,0.041,118,16116,3073.4926,1
1.129,0.136,430,3005,1810.9946,1
1.408,0.055,5,1034,1848.9071,1
1.858,0.08,2,20116,3006.1871,1
1.936,0.098,2,2084,2380.6444,1
1.233,0.046,13,836,1892.109,1
1.821,0.002,70,15104,2737.8249,1
1.84,0.11,106,1596,2509.7588,1
2.075,0.235,3,19100,2574.7496,1
1.096,0.051,23,2608,1543.7404,1
1.858,0.087,46,18108,2763.9122,1
1.504,0.225,1,3011,1568.7014,1
1.486,0.075,304,538,1949.1082,1
1.761,0.001,44,17104,2743.0296,1
2.262,0.034,4,19104,2873.306,1
1.293,0.211,2,2409,1446.4045,1
1.379,0.232,9,832,1868.0465,1
1.491,0.338,13,832,1787.0031,1
2.068,0.047,4,20132,3541.8339,1
1.342,0.128,115,838,2076.4424,1
2.092,0.016,11,20132,3326.5443,1
2.101,0.149,71,16108,3028.4214,1
1.079,0.05,4,3009,1717.8719,1
1.062,0.035,139,1808,1012.1777,1
1.606,0.043,21,1956,1522.6414,1
1.294,0.116,5,1034,1721.7612,1
1.143,0.172,15,832,1924.1502,1
1.562,0.131,37,740,2180.5327,1
1.526,0.167,15,840,2204.3818,1
1.099,0.04,8,2409,1447.6922,1
1.213,0.03,131,642,2235.4859,1
1.929,0.09,2,21104,2917.4697,1
1.776,0.019,18,20112,2851.046,1
1.752,0.027,16,18124,3335.318,1
1.243,0.023,144,2606,1440.7364,1
1.915,0.095,15,1888,2518.4981,1
2.123,0.015,10,17104,2720.1376,1
1.091,0.005,2,2210,1203.2256,1
2.34,0.133,7,21124,3024.2078,1
1.659,0.129,8,1032,1623.7838,1
2.174,0.056,84,1692,2439.7942,1
2.134,0.108,1,20120,3191.5176,1
1.158,0.109,1,2611,1572.7446,1
1.146,0.128,11,3009,1592.8922,1
1.267,0.195,7,2609,1434.5724,1
1.809,0.273,2,2096,2665.0452,1
1.348,0.01,146,734,1800.9378,1
1.806,0.013,35,17112,2977.0534,1
1.708,0.042,17,18108,3169.5883,1
5.315,0.674,1,43136,3542.9178,1
1.243,0.012,70,740,2094.1767,1
1.626,0.032,237,13100,2686.9282,1
2.088,0.132,2,20116,3229.8387,1
2.176,0.174,14,17104,2929.0381,1
1.258,0.115,247,634,1878.1191,1
1.945,0.149,4,1992,2381.357,1
1.849,0.087,78,17112,3098.473,1
1.777,0.06,214,15108,2754.959,1
1.755,0.175,350,538,2031.1668,1
1.544,0.053,2,2084,2122.2334,1
0.913,0.004,85,3008,1574.7111,1
1.924,0.174,1,20104,2729.1819,1
1.034,0.06,34,2808,1536.755,1
1.553,0.164,7,932,1749.8986,1
1.207,0.105,20,840,2147.435,1
1.298,0.011,52,738,2156.424,1
1.316,0.082,4,936,1930.1515,1
1.237,0.105,77,734,1739.8542,1
1.502,0.033,51,1596,2568.8609,1
1.173,0.038,1,3010,1648.9997,1
1.051,0.006,50,838,2116.452,1
1.516,0.004,46,1684,2407.9011,1
2.095,0.145,10,19108,2987.286,1
2.393,0.125,2,22108,2727.9195,1
2.013,0.056,176,16136,3475.6386,1
1.086,0.12,32,3008,1607.744,1
1.975,0.082,122,17108,2880.0289,1
2.172,0.006,76,1692,2650.8912,1
1.238,0.059,352,438,2024.1754,1
1.653,0.046,8,1888,2374.5932,1
1.44,0.076,4,934,1862.9744,1
1.092,0.029,3,932,1787.0988,1
1.072,0.05,92,944,1391.3251,1
1.083,0.019,78,1792,2435.5932,1
2.148,0.09,81,17104,2892.3178,1
1,0.109,3,2809,1648.7936,1
1.574,0.048,34,838,2241.5859,1
1.002,0.036,5,1748,1406.7354,1
1.726,0.17,6,1996,2459.514,1
1.753,0.177,4,1040,2064.3696,1
1.226,0.103,37,3007,1666.8118,1
1.16,0.101,277,632,1788.0836,1
1.156,0.06,80,734,1875.0785,1
2.072,0.087,169,14120,3020.1362,1
1.587,0.212,12,1560,1496.6433,1
0.934,0.066,7,938,2241.5859,1
